store_id,category,soft_capacity_units,hard_capacity_units,data_origin
001,Fresh Produce,2000,2400,synthetic
001,Dairy and Eggs,2000,2400,synthetic
001,Meat and Poultry,2000,2400,synthetic
001,Seafood,2000,2400,synthetic
001,Bakery,2000,2400,synthetic
001,Chilled and Ready Meals,2000,2400,synthetic
001,Frozen Foods,2000,2400,synthetic
001,Beverages,2000,2400,synthetic
001,Pantry Essentials,2000,2400,synthetic
002,Fresh Produce,2000,2400,synthetic
002,Dairy and Eggs,2000,2400,synthetic
002,Meat and Poultry,2000,2400,synthetic
002,Seafood,2000,2400,synthetic
002,Bakery,2000,2400,synthetic
002,Chilled and Ready Meals,2000,2400,synthetic
002,Frozen Foods,2000,2400,synthetic
002,Beverages,2000,2400,synthetic
002,Pantry Essentials,2000,2400,synthetic
003,Fresh Produce,2000,2400,synthetic
003,Dairy and Eggs,2000,2400,synthetic
003,Meat and Poultry,2000,2400,synthetic
003,Seafood,2000,2400,synthetic
003,Bakery,2000,2400,synthetic
003,Chilled and Ready Meals,2000,2400,synthetic
003,Frozen Foods,2000,2400,synthetic
003,Beverages,2000,2400,synthetic
003,Pantry Essentials,2000,2400,synthetic
004,Fresh Produce,2000,2400,synthetic
004,Dairy and Eggs,2000,2400,synthetic
004,Meat and Poultry,2000,2400,synthetic
004,Seafood,2000,2400,synthetic
004,Bakery,2000,2400,synthetic
004,Chilled and Ready Meals,2000,2400,synthetic
004,Frozen Foods,2000,2400,synthetic
004,Beverages,2000,2400,synthetic
004,Pantry Essentials,2000,2400,synthetic
005,Fresh Produce,2000,2400,synthetic
005,Dairy and Eggs,2000,2400,synthetic
005,Meat and Poultry,2000,2400,synthetic
005,Seafood,2000,2400,synthetic
005,Bakery,2000,2400,synthetic
005,Chilled and Ready Meals,2000,2400,synthetic
005,Frozen Foods,2000,2400,synthetic
005,Beverages,2000,2400,synthetic
005,Pantry Essentials,2000,2400,synthetic
006,Fresh Produce,2000,2400,synthetic
006,Dairy and Eggs,2000,2400,synthetic
006,Meat and Poultry,2000,2400,synthetic
006,Seafood,2000,2400,synthetic
006,Bakery,2000,2400,synthetic
006,Chilled and Ready Meals,2000,2400,synthetic
006,Frozen Foods,2000,2400,synthetic
006,Beverages,2000,2400,synthetic
006,Pantry Essentials,2000,2400,synthetic
007,Fresh Produce,2000,2400,synthetic
007,Dairy and Eggs,2000,2400,synthetic
007,Meat and Poultry,2000,2400,synthetic
007,Seafood,2000,2400,synthetic
007,Bakery,2000,2400,synthetic
007,Chilled and Ready Meals,2000,2400,synthetic
007,Frozen Foods,2000,2400,synthetic
007,Beverages,2000,2400,synthetic
007,Pantry Essentials,2000,2400,synthetic
008,Fresh Produce,2000,2400,synthetic
008,Dairy and Eggs,2000,2400,synthetic
008,Meat and Poultry,2000,2400,synthetic
008,Seafood,2000,2400,synthetic
008,Bakery,2000,2400,synthetic
008,Chilled and Ready Meals,2000,2400,synthetic
008,Frozen Foods,2000,2400,synthetic
008,Beverages,2000,2400,synthetic
008,Pantry Essentials,2000,2400,synthetic
