sku_id,dc_total_stock,dc_reserved_stock,dc_blocked_stock,dc_safety_stock,dc_free_stock,data_origin
1,255,0,0,0,255,synthetic
10,252,0,0,0,252,synthetic
11,229,0,0,0,229,synthetic
12,254,0,0,0,254,synthetic
13,214,0,0,0,214,synthetic
14,306,0,0,0,306,synthetic
15,262,0,0,0,262,synthetic
16,260,0,0,0,260,synthetic
17,237,0,0,0,237,synthetic
18,253,0,0,0,253,synthetic
19,159,0,0,0,159,synthetic
2,285,0,0,0,285,synthetic
20,250,0,0,0,250,synthetic
21,239,0,0,0,239,synthetic
22,175,0,0,0,175,synthetic
23,241,0,0,0,241,synthetic
24,237,0,0,0,237,synthetic
25,275,0,0,0,275,synthetic
26,240,0,0,0,240,synthetic
27,147,0,0,0,147,synthetic
28,277,0,0,0,277,synthetic
29,257,0,0,0,257,synthetic
3,261,0,0,0,261,synthetic
30,245,0,0,0,245,synthetic
31,222,0,0,0,222,synthetic
32,268,0,0,0,268,synthetic
33,287,0,0,0,287,synthetic
34,272,0,0,0,272,synthetic
35,212,0,0,0,212,synthetic
36,257,0,0,0,257,synthetic
4,266,0,0,0,266,synthetic
5,222,0,0,0,222,synthetic
6,246,0,0,0,246,synthetic
7,187,0,0,0,187,synthetic
8,293,0,0,0,293,synthetic
9,226,0,0,0,226,synthetic
