store_id,sku_id,forecast_daily_sales_base,forecast_next_7_units,forecast_next_14_units,forecast_next_28_units,forecast_confidence,under_forecast_bias,seasonal_index,promo_uplift_pct,promo_flag_next_28d,normalized_forecast_14,quantity_origin,conversion_version,conversion_factor,source_origin
001,1,2.9,20.3,40.6,81.2,0.5,0,1,0,0,4.06,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,10,1.3,9.1,18.2,36.4,0.5,0,1,0,0,1.82,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,11,4.5,31.5,63.0,126.0,0.5,0,1,0,0,6.3,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,12,4.3,30.1,60.2,120.4,0.5,0,1,0,0,6.02,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,13,2.4,16.8,33.6,67.2,0.5,0,1,0,0,3.36,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,14,5.9,41.3,82.6,165.2,0.5,0,1,0,0,8.26,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,15,4.9,34.3,68.6,137.2,0.5,0,1,0,0,6.86,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,16,2.6,18.2,36.4,72.8,0.5,0,1,0,0,3.64,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,17,2.6,18.2,36.4,72.8,0.5,0,1,0,0,3.64,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,18,5.6,39.2,78.4,156.8,0.5,0,1,0,0,7.84,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,19,2.9,20.3,40.6,81.2,0.5,0,1,0,0,4.06,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,2,4.9,34.3,68.6,137.2,0.5,0,1,0,0,6.86,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,20,5.5,38.5,77.0,154.0,0.5,0,1,0,0,7.7,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,21,3.1,21.7,43.4,86.8,0.5,0,1,0,0,4.34,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,22,2.3,16.1,32.2,64.4,0.5,0,1,0,0,3.22,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,23,2.8,19.6,39.2,78.4,0.5,0,1,0,0,3.92,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,24,4.4,30.8,61.6,123.2,0.5,0,1,0,0,6.16,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,25,4.7,32.9,65.8,131.6,0.5,0,1,0,0,6.58,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,26,4.3,30.1,60.2,120.4,0.5,0,1,0,0,6.02,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,27,1.4,9.8,19.6,39.2,0.5,0,1,0,0,1.96,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,28,3.5,24.5,49.0,98.0,0.5,0,1,0,0,4.9,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,29,3.4,23.8,47.6,95.2,0.5,0,1,0,0,4.76,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,3,3.1,21.7,43.4,86.8,0.5,0,1,0,0,4.34,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,30,2.1,14.7,29.4,58.8,0.5,0,1,0,0,2.94,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,31,2.6,18.2,36.4,72.8,0.5,0,1,0,0,3.64,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,32,5.4,37.8,75.6,151.2,0.5,0,1,0,0,7.56,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,33,2.6,18.2,36.4,72.8,0.5,0,1,0,0,3.64,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,34,4.1,28.7,57.4,114.8,0.5,0,1,0,0,5.74,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,35,4.6,32.2,64.4,128.8,0.5,0,1,0,0,6.44,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,36,1.2,8.4,16.8,33.6,0.5,0,1,0,0,1.68,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,4,1.9,13.3,26.6,53.2,0.5,0,1,0,0,2.66,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,5,1.9,13.3,26.6,53.2,0.5,0,1,0,0,2.66,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,6,2.9,20.3,40.6,81.2,0.5,0,1,0,0,4.06,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,7,1.0,7.0,14.0,28.0,0.5,0,1,0,0,1.4,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,8,3.8,26.6,53.2,106.4,0.5,0,1,0,0,5.32,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
001,9,2.2,15.4,30.8,61.6,0.5,0,1,0,0,3.08,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
002,1,1.6,11.2,22.4,44.8,0.5,0,1,0,0,2.24,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
002,10,1.5,10.5,21.0,42.0,0.5,0,1,0,0,2.1,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
002,11,2.2,15.4,30.8,61.6,0.5,0,1,0,0,3.08,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
002,12,4.8,33.6,67.2,134.4,0.5,0,1,0,0,6.72,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
002,13,4.1,28.7,57.4,114.8,0.5,0,1,0,0,5.74,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
002,14,5.5,38.5,77.0,154.0,0.5,0,1,0,0,7.7,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
002,15,3.6,25.2,50.4,100.8,0.5,0,1,0,0,5.04,synthetic_operational_conversion,scale10-v1,10,synthetic_fixture
