sku_id,source_product_id,source_management_group_id,source_first_category_id,source_second_category_id,source_third_category_id,display_product_name,display_department,display_category,display_subcategory,display_pack_description,display_unit_of_measure,category,subcategory,storage_temperature,shelf_life_days,waste_risk,lifecycle_status,unit_cost,selling_price,gross_margin_pct,pack_multiple,min_presentation_qty,replenishable_flag,display_metadata_origin,commercial_origin,operational_origin
1,1,1,1,10,100,Pears 500g · 1,Fresh Produce,Fresh Produce,Pears,500g,gram,Fresh Produce,Pears,chilled,7,High,Active,5.41,8.12,0.333744,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
10,10,1,1,10,100,Pears 500g · 10,Fresh Produce,Fresh Produce,Pears,500g,gram,Fresh Produce,Pears,chilled,7,High,Active,3.39,5.08,0.332677,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
11,11,1,2,20,200,Seeded Loaf 400g · 11,Bakery,Bakery,Seeded Loaf,400g,gram,Bakery,Seeded Loaf,ambient,4,High,Active,3.63,5.45,0.333945,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
12,12,1,3,30,300,Vegetable Curry 400g · 12,Chilled and Ready Meals,Chilled and Ready Meals,Vegetable Curry,400g,gram,Chilled and Ready Meals,Vegetable Curry,chilled,7,High,Active,1.27,1.91,0.335079,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
13,13,1,4,40,400,Butter 500g · 13,Dairy and Eggs,Dairy and Eggs,Butter,500g,gram,Dairy and Eggs,Butter,chilled,14,Low,Active,2.2,3.3,0.333333,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
14,14,1,5,50,500,Beef Mince 500g · 14,Meat and Poultry,Meat and Poultry,Beef Mince,500g,gram,Meat and Poultry,Beef Mince,chilled,5,High,Active,1.42,2.13,0.333333,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
15,15,1,6,60,600,Orange Juice 1L · 15,Beverages,Beverages,Orange Juice,1L,litre,Beverages,Orange Juice,ambient,30,Low,Active,3.34,5.01,0.333333,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
16,16,1,7,70,700,Garden Peas 500g · 16,Frozen Foods,Frozen Foods,Garden Peas,500g,gram,Frozen Foods,Garden Peas,frozen,180,Low,Active,4.51,6.76,0.33284,4,0,1,synthetic_grocery_overlay,synthetic,synthetic
17,17,1,8,80,800,Haddock 300g · 17,Seafood,Seafood,Haddock,300g,gram,Seafood,Haddock,chilled,4,High,Active,5.18,7.77,0.333333,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
18,18,1,0,0,0,Cream 500g · 18,Dairy and Eggs,Dairy and Eggs,Cream,500g,gram,Dairy and Eggs,Cream,chilled,14,Low,Active,1.27,1.91,0.335079,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
19,19,1,1,10,100,Carrots 500g · 19,Fresh Produce,Fresh Produce,Carrots,500g,gram,Fresh Produce,Carrots,chilled,7,High,Active,5.0,7.5,0.333333,6,0,1,synthetic_grocery_overlay,synthetic,synthetic
