store_id,sku_id,ranged_flag,target_cover_days,min_cover_days,max_cover_days,store_sku_capacity_units,service_level_target,store_sku_priority
STR001,SKU000001,1,16,9,26,31,0.92,0.75
STR001,SKU000002,1,12,6,20,13,0.92,0.73
STR001,SKU000003,1,16,10,28,13,0.9,0.86
STR001,SKU000004,1,10,4,22,29,0.9,0.75
STR001,SKU000005,1,16,11,28,39,0.97,0.92
STR001,SKU000006,1,10,5,22,21,0.9,0.92
STR001,SKU000007,1,16,10,24,20,0.95,0.91
STR001,SKU000008,1,18,12,26,12,0.92,0.91
STR001,SKU000009,1,14,7,22,16,0.92,0.85
STR001,SKU000010,1,14,9,24,22,0.9,0.79
STR001,SKU000011,1,12,6,20,8,0.9,0.93
STR001,SKU000012,1,12,7,20,25,0.95,0.89
STR001,SKU000013,1,14,8,28,6,0.95,0.84
STR001,SKU000014,1,21,14,29,15,0.97,1.04
STR001,SKU000015,1,21,15,33,19,0.9,0.8
STR001,SKU000016,1,16,9,26,22,0.95,1.05
STR001,SKU000017,1,18,11,30,13,0.97,1.02
STR001,SKU000018,1,10,4,20,35,0.92,0.92
STR001,SKU000019,1,10,4,18,35,0.9,0.81
STR001,SKU000020,1,16,10,24,9,0.95,0.78
STR001,SKU000022,1,10,4,22,15,0.92,0.89
STR001,SKU000024,1,21,14,35,33,0.97,1.08
STR001,SKU000025,1,18,12,30,14,0.92,0.82
STR001,SKU000026,1,18,11,32,40,0.92,0.86
STR001,SKU000027,1,21,15,33,35,0.95,0.88
STR001,SKU000029,1,16,11,26,25,0.92,0.94
STR001,SKU000031,1,16,11,30,6,0.97,1.02
STR001,SKU000032,1,21,16,33,12,0.95,0.93
STR001,SKU000033,1,21,14,29,19,0.92,0.93
STR001,SKU000034,1,21,16,35,18,0.9,0.75
STR001,SKU000035,1,12,7,26,7,0.97,0.87
STR001,SKU000038,1,18,11,32,13,0.97,0.78
STR001,SKU000039,1,21,14,31,36,0.97,0.83
STR001,SKU000040,1,16,9,24,35,0.97,1.02
STR001,SKU000041,1,18,12,26,34,0.9,1.06
STR001,SKU000042,1,10,5,22,38,0.92,0.85
STR001,SKU000043,1,12,6,24,35,0.92,0.83
STR001,SKU000045,1,16,10,26,42,0.95,0.78
STR001,SKU000046,1,16,11,24,7,0.92,0.81
STR001,SKU000047,1,21,16,29,17,0.97,1.0
STR001,SKU000048,1,10,4,18,34,0.95,0.95
STR001,SKU000049,1,16,11,26,18,0.95,0.91
STR001,SKU000052,1,18,13,26,19,0.9,1.02
STR001,SKU000053,1,10,4,20,39,0.97,0.8
STR001,SKU000054,1,18,11,28,10,0.97,0.88
STR001,SKU000055,1,18,12,26,13,0.97,0.81
STR001,SKU000057,1,14,8,26,10,0.92,1.08
STR001,SKU000059,1,16,9,24,40,0.9,0.94
STR001,SKU000060,1,14,8,26,18,0.95,1.05
STR001,SKU000061,1,21,16,31,37,0.9,1.02
STR001,SKU000064,1,18,13,32,14,0.95,0.99
STR001,SKU000065,1,12,7,20,7,0.92,0.92
STR001,SKU000066,1,16,10,26,33,0.97,0.93
STR001,SKU000067,1,14,8,22,21,0.92,0.76
STR001,SKU000068,1,10,4,20,9,0.9,0.75
STR001,SKU000069,1,21,16,33,14,0.97,0.9
STR001,SKU000071,1,21,14,33,20,0.97,0.99
STR001,SKU000072,1,14,8,22,9,0.95,1.06
STR001,SKU000075,1,14,7,24,13,0.95,0.99
STR001,SKU000076,1,16,11,24,37,0.9,0.83
STR001,SKU000077,1,18,12,32,7,0.97,0.87
STR001,SKU000078,1,18,13,30,8,0.95,1.07
STR001,SKU000079,1,10,4,24,33,0.9,1.02
STR001,SKU000080,1,18,11,30,16,0.97,0.9
STR001,SKU000083,1,12,5,24,27,0.97,0.74
STR001,SKU000085,1,10,4,22,22,0.92,0.89
STR001,SKU000087,1,18,13,32,9,0.9,0.83
STR001,SKU000088,1,14,8,28,14,0.92,0.96
STR001,SKU000089,1,10,5,24,26,0.9,0.93
STR001,SKU000090,1,14,7,22,21,0.95,0.77
STR001,SKU000091,1,14,7,26,32,0.9,0.96
STR001,SKU000092,1,14,8,28,29,0.97,1.07
STR001,SKU000093,1,12,5,20,12,0.92,1.02
STR001,SKU000094,1,12,6,20,15,0.97,1.01
STR001,SKU000095,1,18,11,32,40,0.9,1.04
STR001,SKU000096,1,18,12,30,23,0.92,1.03
STR001,SKU000099,1,14,7,22,21,0.97,0.99
STR001,SKU000100,1,14,7,28,20,0.97,1.01
STR001,SKU000101,1,16,9,26,22,0.95,0.85
STR001,SKU000102,1,21,16,31,35,0.9,0.79
STR001,SKU000104,1,12,7,26,7,0.92,1.09
STR001,SKU000106,1,16,9,26,24,0.9,0.85
STR001,SKU000108,1,21,15,35,32,0.97,1.0
STR001,SKU000109,1,12,5,20,15,0.9,0.94
STR001,SKU000110,1,12,5,24,12,0.92,0.84
STR001,SKU000111,1,12,7,20,19,0.97,0.92
STR001,SKU000112,1,12,7,24,23,0.97,0.89
STR001,SKU000113,1,12,5,24,15,0.9,0.8
STR001,SKU000115,1,10,4,20,24,0.97,0.99
STR001,SKU000117,1,10,4,24,37,0.95,0.76
STR001,SKU000119,1,12,5,20,26,0.92,0.91
STR001,SKU000120,1,21,14,33,8,0.97,0.76
STR001,SKU000122,1,21,14,29,21,0.92,0.94
STR001,SKU000123,1,12,5,26,24,0.92,0.8
STR001,SKU000124,1,16,9,26,17,0.9,0.88
STR001,SKU000125,1,16,9,26,25,0.92,1.05
STR001,SKU000126,1,16,10,24,20,0.9,1.08
STR001,SKU000127,1,16,11,26,35,0.95,0.97
STR001,SKU000130,1,21,16,29,24,0.95,0.91
STR001,SKU000131,1,16,10,30,31,0.95,1.06
STR001,SKU000132,1,10,4,24,32,0.92,0.94
STR001,SKU000133,1,12,5,20,7,0.97,0.76
STR001,SKU000134,1,18,13,30,40,0.92,1.09
STR001,SKU000137,1,12,5,22,6,0.9,1.04
STR001,SKU000138,1,16,11,26,24,0.95,0.74
STR001,SKU000139,1,10,4,24,14,0.95,1.04
STR001,SKU000140,1,18,11,28,12,0.97,0.8
STR001,SKU000141,1,10,4,22,35,0.92,0.76
STR001,SKU000142,1,12,6,24,36,0.95,1.06
STR001,SKU000144,1,14,7,22,34,0.92,0.94
STR001,SKU000145,1,18,13,30,27,0.92,1.02
STR001,SKU000146,1,10,5,24,36,0.92,0.75
STR001,SKU000147,1,12,7,24,42,0.97,1.05
STR001,SKU000148,1,14,7,24,26,0.97,0.99
STR001,SKU000149,1,10,4,20,6,0.92,0.92
STR001,SKU000150,1,16,10,26,39,0.97,0.78
STR001,SKU000151,1,16,10,28,39,0.95,0.95
STR001,SKU000152,1,21,16,33,39,0.95,0.9
STR001,SKU000153,1,16,11,28,32,0.92,0.78
STR001,SKU000154,1,12,5,20,40,0.97,0.85
STR001,SKU000155,1,21,14,31,28,0.9,1.07
STR001,SKU000156,1,14,7,28,22,0.92,0.76
STR001,SKU000157,1,10,5,24,27,0.95,1.08
STR001,SKU000158,1,12,7,20,15,0.92,0.79
STR001,SKU000159,1,16,10,30,26,0.95,0.91
STR001,SKU000160,1,21,15,33,25,0.95,0.92
STR001,SKU000162,1,16,9,30,37,0.95,0.98
STR001,SKU000163,1,14,8,26,33,0.92,0.95
STR001,SKU000164,1,21,16,31,34,0.95,0.92
STR001,SKU000167,1,10,4,22,8,0.95,0.96
STR001,SKU000168,1,18,13,32,35,0.97,0.79
STR001,SKU000169,1,10,4,20,17,0.92,0.76
STR001,SKU000171,1,12,5,20,27,0.95,1.05
STR001,SKU000173,1,21,15,35,9,0.9,0.8
STR001,SKU000174,1,10,4,20,38,0.97,0.79
STR001,SKU000175,1,14,9,26,35,0.9,0.93
STR001,SKU000176,1,14,7,22,16,0.9,0.81
STR001,SKU000178,1,12,5,22,25,0.9,0.87
STR001,SKU000179,1,12,7,24,18,0.92,1.08
STR001,SKU000180,1,18,12,30,39,0.97,1.03
STR001,SKU000181,1,18,11,28,33,0.95,0.96
STR001,SKU000182,1,18,11,30,11,0.92,0.82
STR001,SKU000183,1,12,6,22,35,0.95,0.86
STR001,SKU000184,1,21,15,29,16,0.97,0.9
STR001,SKU000186,1,16,9,26,7,0.97,1.02
STR001,SKU000187,1,12,6,24,27,0.97,0.97
STR001,SKU000188,1,14,7,28,7,0.92,0.91
STR001,SKU000190,1,12,7,24,9,0.9,0.84
STR001,SKU000191,1,10,4,20,18,0.92,0.84
STR001,SKU000192,1,12,7,24,6,0.97,0.79
STR001,SKU000193,1,16,9,30,35,0.92,1.01
STR001,SKU000194,1,14,8,28,31,0.9,0.85
STR001,SKU000195,1,18,13,28,29,0.95,0.85
STR001,SKU000196,1,16,11,24,19,0.95,0.89
STR001,SKU000197,1,14,8,28,8,0.95,1.08
STR001,SKU000198,1,10,4,18,28,0.9,0.97
STR001,SKU000199,1,18,11,32,35,0.9,0.9
STR001,SKU000200,1,14,7,22,34,0.95,1.01
STR001,SKU000201,1,12,6,26,11,0.92,0.73
STR001,SKU000203,1,16,10,24,35,0.95,0.74
STR001,SKU000205,1,14,8,26,24,0.9,0.93
STR001,SKU000206,1,14,7,22,13,0.95,0.99
STR001,SKU000207,1,10,5,20,37,0.97,1.05
STR001,SKU000212,1,10,5,22,29,0.9,0.78
STR001,SKU000213,1,21,16,33,25,0.97,0.87
STR001,SKU000214,1,10,4,18,18,0.95,1.09
STR001,SKU000216,1,16,11,30,23,0.92,0.83
STR001,SKU000217,1,10,4,20,7,0.97,0.97
STR001,SKU000218,1,12,7,20,26,0.92,0.75
STR001,SKU000219,1,21,14,33,40,0.97,0.9
STR001,SKU000221,1,21,15,31,40,0.92,0.97
STR001,SKU000222,1,18,12,26,19,0.95,0.84
STR001,SKU000223,1,18,13,30,42,0.97,0.88
STR001,SKU000224,1,12,6,22,30,0.9,0.76
STR001,SKU000225,1,12,5,26,41,0.97,0.86
STR001,SKU000226,1,14,7,22,26,0.97,0.81
STR001,SKU000228,1,12,6,24,6,0.95,1.01
STR001,SKU000229,1,16,10,30,18,0.9,0.95
STR001,SKU000230,1,21,15,29,26,0.92,0.79
STR001,SKU000231,1,18,11,32,41,0.92,1.04
STR001,SKU000232,1,21,16,33,14,0.95,0.75
STR001,SKU000233,1,18,12,28,17,0.97,0.91
STR001,SKU000234,1,21,16,29,8,0.97,1.04
STR001,SKU000237,1,21,14,29,34,0.97,1.03
STR001,SKU000238,1,14,8,28,33,0.9,0.77
STR001,SKU000239,1,14,8,26,15,0.92,1.02
STR001,SKU000240,1,16,9,30,21,0.95,0.85
STR001,SKU000241,1,14,7,22,14,0.92,0.92
STR001,SKU000242,1,14,8,24,42,0.95,0.9
STR001,SKU000244,1,18,12,32,22,0.92,0.74
STR001,SKU000245,1,14,7,28,36,0.92,1.08
STR001,SKU000246,1,16,10,26,39,0.97,0.79
STR001,SKU000247,1,12,7,22,23,0.9,0.96
