store_id,category,soft_capacity_units,hard_capacity_units,receiving_capacity_units_per_delivery,capacity_rule
STR001,Apparel,1858,2020,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR001,Shoes,760,827,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR002,Apparel,857,932,350,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR002,Shoes,299,326,350,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR003,Apparel,700,761,350,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR003,Shoes,246,268,350,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR004,Apparel,2368,2574,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR004,Shoes,636,692,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR005,Apparel,614,668,700,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR005,Shoes,148,161,700,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR006,Apparel,1277,1389,350,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR006,Shoes,317,345,350,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR007,Apparel,1474,1603,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR007,Shoes,511,556,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR008,Apparel,1272,1383,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR008,Shoes,427,465,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR009,Apparel,1964,2135,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR009,Shoes,791,860,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR010,Apparel,766,833,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR010,Shoes,246,268,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR011,Apparel,1145,1245,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR011,Shoes,370,403,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR012,Apparel,992,1079,700,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR012,Shoes,271,295,700,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR013,Apparel,2324,2527,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR013,Shoes,593,645,550,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR014,Apparel,696,757,350,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR014,Shoes,187,204,350,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR015,Apparel,2264,2461,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR015,Shoes,570,620,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR016,Apparel,2147,2334,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR016,Shoes,609,663,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR017,Apparel,1874,2038,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR017,Shoes,489,532,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR018,Apparel,851,925,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR018,Shoes,286,311,450,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR019,Apparel,1677,1823,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR019,Shoes,482,524,850,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR020,Apparel,2212,2405,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
STR020,Shoes,472,514,1000,block_if_projected_category_stock_exceeds_hard_capacity; warn_above_soft_capacity
