issue_id,run_date,store_id,sku_id,issue_type,issue_description,severity,resolved_flag
DQ000001,2026-05-15,STR058,SKU001102,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Warning,0
DQ000002,2026-05-15,STR053,SKU000515,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Blocker,0
DQ000003,2026-05-15,STR005,SKU001175,MISSING_FORECAST,Forecast is missing for ranged store-SKU,Blocker,0
DQ000004,2026-05-15,STR048,SKU000404,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Warning,0
DQ000005,2026-05-15,STR055,SKU000261,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Blocker,0
DQ000006,2026-05-15,STR039,SKU000687,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Warning,0
DQ000007,2026-05-15,STR055,SKU000648,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Blocker,0
DQ000008,2026-05-15,STR063,SKU000307,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Warning,0
DQ000009,2026-05-15,STR024,SKU001178,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Warning,0
DQ000010,2026-05-15,STR026,SKU000382,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Warning,0
DQ000011,2026-05-15,STR020,SKU000370,MISSING_FORECAST,Forecast is missing for ranged store-SKU,Warning,0
DQ000012,2026-05-15,STR017,SKU000226,NEGATIVE_STOCK,Stock on hand is negative after adjustment import,Warning,0
DQ000013,2026-05-15,STR025,SKU000908,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Warning,0
DQ000014,2026-05-15,STR005,SKU000697,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Warning,0
DQ000015,2026-05-15,STR068,SKU000374,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Blocker,0
DQ000016,2026-05-15,STR039,SKU000990,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Warning,0
DQ000017,2026-05-15,STR042,SKU000142,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Warning,0
DQ000018,2026-05-15,STR045,SKU000999,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Blocker,0
DQ000019,2026-05-15,STR048,SKU000061,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Warning,0
DQ000020,2026-05-15,STR029,SKU000850,MISSING_FORECAST,Forecast is missing for ranged store-SKU,Warning,0
DQ000021,2026-05-15,STR037,SKU000774,NEGATIVE_STOCK,Stock on hand is negative after adjustment import,Warning,0
DQ000022,2026-05-15,STR065,SKU001131,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Blocker,0
DQ000023,2026-05-15,STR030,SKU000239,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Warning,0
DQ000024,2026-05-15,STR021,SKU000408,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Blocker,0
DQ000025,2026-05-15,STR043,SKU000780,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Warning,0
DQ000026,2026-05-15,STR024,SKU000274,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Warning,0
DQ000027,2026-05-15,STR034,SKU000676,MISSING_FORECAST,Forecast is missing for ranged store-SKU,Warning,0
DQ000028,2026-05-15,STR070,SKU000904,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Warning,0
DQ000029,2026-05-15,STR020,SKU000547,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Warning,0
DQ000030,2026-05-15,STR063,SKU000667,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Blocker,0
DQ000031,2026-05-15,STR021,SKU000775,SKU_NOT_REPLENISHABLE,SKU lifecycle status blocks replenishment,Warning,0
DQ000032,2026-05-15,STR052,SKU000231,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Warning,0
DQ000033,2026-05-15,STR025,SKU000706,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Warning,0
DQ000034,2026-05-15,STR014,SKU000985,NEGATIVE_STOCK,Stock on hand is negative after adjustment import,Blocker,0
DQ000035,2026-05-15,STR013,SKU000808,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Blocker,0
DQ000036,2026-05-15,STR014,SKU000556,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Blocker,0
DQ000037,2026-05-15,STR058,SKU001044,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Warning,0
DQ000038,2026-05-15,STR004,SKU000637,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Blocker,0
DQ000039,2026-05-15,STR002,SKU000112,MISSING_FORECAST,Forecast is missing for ranged store-SKU,Warning,0
DQ000040,2026-05-15,STR050,SKU001184,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Warning,0
DQ000041,2026-05-15,STR051,SKU000598,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Blocker,0
DQ000042,2026-05-15,STR006,SKU000105,MISSING_FORECAST,Forecast is missing for ranged store-SKU,Blocker,0
DQ000043,2026-05-15,STR037,SKU000744,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Blocker,0
DQ000044,2026-05-15,STR062,SKU000929,MISSING_FORECAST,Forecast is missing for ranged store-SKU,Warning,0
DQ000045,2026-05-15,STR037,SKU000501,MISSING_FORECAST,Forecast is missing for ranged store-SKU,Warning,0
DQ000046,2026-05-15,STR018,SKU000194,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Blocker,0
DQ000047,2026-05-15,STR061,SKU000201,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Warning,0
DQ000048,2026-05-15,STR001,SKU001079,MISSING_FORECAST,Forecast is missing for ranged store-SKU,Warning,0
DQ000049,2026-05-15,STR009,SKU000104,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Warning,0
DQ000050,2026-05-15,STR060,SKU001005,MISSING_FORECAST,Forecast is missing for ranged store-SKU,Blocker,0
DQ000051,2026-05-15,STR067,SKU000446,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Blocker,0
DQ000052,2026-05-15,STR008,SKU000289,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Warning,0
DQ000053,2026-05-15,STR023,SKU000128,MISSING_FORECAST,Forecast is missing for ranged store-SKU,Warning,0
DQ000054,2026-05-15,STR039,SKU000732,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Blocker,0
DQ000055,2026-05-15,STR066,SKU000941,MISSING_FORECAST,Forecast is missing for ranged store-SKU,Blocker,0
DQ000056,2026-05-15,STR049,SKU000833,NEGATIVE_STOCK,Stock on hand is negative after adjustment import,Warning,0
DQ000057,2026-05-15,STR046,SKU000501,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Warning,0
DQ000058,2026-05-15,STR023,SKU000244,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Warning,0
DQ000059,2026-05-15,STR059,SKU000935,PACK_MULTIPLE_MISSING,Pack multiple is missing or zero,Warning,0
DQ000060,2026-05-15,STR021,SKU000656,LOW_CONFIDENCE_FORECAST,Forecast confidence below threshold,Warning,0
