sku_id,dc_total_stock,dc_reserved_stock,dc_blocked_stock,dc_safety_stock,dc_inbound_qty_next_7d,dc_free_stock
SKU000001,456,73,16,10,0,357
SKU000002,442,50,4,13,0,375
SKU000003,84,6,17,30,0,31
SKU000004,87,55,24,49,0,0
SKU000005,780,71,6,36,50,667
SKU000006,667,71,19,52,100,525
SKU000007,252,34,24,32,0,162
SKU000008,701,11,3,47,50,640
SKU000009,433,24,10,27,100,372
SKU000010,39,10,11,44,250,0
SKU000011,822,18,14,7,250,783
SKU000012,239,47,4,53,150,135
SKU000013,873,6,7,44,0,816
SKU000014,889,36,0,26,150,827
SKU000015,823,57,15,6,0,745
SKU000016,214,27,6,39,100,142
SKU000017,768,61,19,51,0,637
SKU000018,711,2,12,42,150,655
SKU000019,21,1,9,17,250,0
SKU000020,713,6,14,46,0,647
SKU000021,68,34,21,59,150,0
SKU000022,368,2,9,60,150,297
SKU000023,395,48,16,50,0,281
SKU000024,925,76,17,10,0,822
SKU000025,203,58,17,50,0,78
SKU000026,40,33,4,26,50,0
SKU000027,402,2,11,48,0,341
SKU000028,363,30,16,22,250,295
SKU000029,63,49,14,57,0,0
SKU000030,568,28,4,26,50,510
SKU000031,672,48,16,48,100,560
SKU000032,893,29,13,20,100,831
SKU000033,156,39,19,26,50,72
SKU000034,555,83,4,42,100,426
SKU000035,700,17,9,49,150,625
SKU000036,920,17,13,54,0,836
SKU000037,671,20,10,9,100,632
SKU000038,545,15,5,25,250,500
SKU000039,900,3,24,25,50,848
SKU000040,421,81,23,22,0,295
SKU000041,797,16,5,6,250,770
SKU000042,626,77,18,44,0,487
SKU000043,610,87,0,27,0,496
SKU000044,704,17,16,59,100,612
SKU000045,480,47,5,59,50,369
SKU000046,503,20,6,19,0,458
SKU000047,418,1,8,31,0,378
SKU000048,760,25,24,18,0,693
SKU000049,181,56,19,36,150,70
SKU000050,332,31,13,30,250,258
SKU000051,42,24,10,30,100,0
SKU000052,760,68,16,46,150,630
SKU000053,13,7,3,57,0,0
SKU000054,898,66,17,30,150,785
SKU000055,40,33,0,17,0,0
SKU000056,450,38,24,57,0,331
SKU000057,472,37,19,8,150,408
SKU000058,529,59,20,33,0,417
SKU000059,739,23,24,42,150,650
SKU000060,559,52,10,33,0,464
SKU000061,183,25,14,10,0,134
SKU000062,331,20,22,51,0,238
SKU000063,93,57,20,28,0,0
SKU000064,536,65,19,15,50,437
SKU000065,563,21,10,41,250,491
SKU000066,675,20,4,16,250,635
SKU000067,39,19,14,23,150,0
SKU000068,185,16,6,5,100,158
SKU000069,783,58,15,59,50,651
SKU000070,556,77,15,20,0,444
SKU000071,602,58,13,33,0,498
SKU000072,615,31,17,22,100,545
SKU000073,643,26,1,16,0,600
SKU000074,56,2,4,59,0,0
SKU000075,683,77,9,26,0,571
SKU000076,50,11,5,48,0,0
SKU000077,625,89,19,41,250,476
SKU000078,575,58,23,42,0,452
SKU000079,36,19,10,28,50,0
SKU000080,54,53,0,23,50,0
SKU000081,137,35,10,38,50,54
SKU000082,537,26,19,8,0,484
SKU000083,585,80,16,10,50,479
SKU000084,741,90,9,32,100,610
SKU000085,868,67,18,44,0,739
SKU000086,949,72,15,38,150,824
SKU000087,647,23,19,19,150,586
SKU000088,297,0,3,6,50,288
SKU000089,640,26,25,44,50,545
SKU000090,44,35,3,5,150,1
SKU000091,206,32,25,9,0,140
SKU000092,307,41,24,5,0,237
SKU000093,702,50,23,41,100,588
SKU000094,29,6,10,58,0,0
SKU000095,944,60,25,7,150,852
SKU000096,139,80,14,60,100,0
SKU000097,917,52,23,8,250,834
SKU000098,533,86,10,40,100,397
SKU000099,19,10,5,9,0,0
SKU000100,287,43,12,45,100,187
SKU000101,862,77,12,16,100,757
SKU000102,119,39,22,59,0,0
SKU000103,52,5,15,20,0,12
SKU000104,462,38,6,38,0,380
SKU000105,179,4,24,17,0,134
SKU000106,454,61,16,14,0,363
SKU000107,348,67,9,54,0,218
SKU000108,146,12,16,48,0,70
SKU000109,210,58,12,50,250,90
SKU000110,534,39,1,48,250,446
SKU000111,608,42,14,7,0,545
SKU000112,533,39,0,41,250,453
SKU000113,319,26,10,17,0,266
SKU000114,293,40,24,33,150,196
SKU000115,120,20,8,12,0,80
SKU000116,637,13,6,39,0,579
SKU000117,562,18,22,56,0,466
SKU000118,587,9,9,44,0,525
SKU000119,553,16,0,35,150,502
SKU000120,51,3,2,32,50,14
SKU000121,183,75,20,58,150,30
SKU000122,716,45,9,26,250,636
SKU000123,202,85,25,39,0,53
SKU000124,944,59,18,13,0,854
SKU000125,832,89,14,11,50,718
SKU000126,317,90,24,34,50,169
SKU000127,237,18,19,21,0,179
SKU000128,401,85,10,55,250,251
SKU000129,903,62,0,9,50,832
SKU000130,115,59,5,23,250,28
SKU000131,356,16,16,11,50,313
SKU000132,837,13,10,40,150,774
SKU000133,72,68,3,30,100,0
SKU000134,423,31,17,15,50,360
SKU000135,26,26,0,55,50,0
SKU000136,580,69,22,20,0,469
SKU000137,678,73,15,12,100,578
SKU000138,610,71,3,57,50,479
SKU000139,180,51,2,43,0,84
SKU000140,701,48,10,36,150,607
SKU000141,27,26,0,42,250,0
SKU000142,651,18,21,14,50,598
SKU000143,544,78,18,33,0,415
SKU000144,210,40,9,41,250,120
SKU000145,935,55,22,27,0,831
SKU000146,65,51,13,13,250,0
SKU000147,70,6,0,50,100,14
SKU000148,840,14,9,60,0,757
SKU000149,240,75,12,45,0,108
SKU000150,728,48,13,39,0,628
SKU000151,678,17,6,40,50,615
SKU000152,863,53,4,23,250,783
SKU000153,686,1,2,46,0,637
SKU000154,147,62,21,32,0,32
SKU000155,86,53,14,55,150,0
SKU000156,618,79,5,34,100,500
SKU000157,434,57,12,27,0,338
SKU000158,190,0,18,36,250,136
SKU000159,748,64,8,31,100,645
SKU000160,590,4,18,35,150,533
SKU000161,377,61,22,10,0,284
SKU000162,747,35,14,38,0,660
SKU000163,535,11,7,35,150,482
SKU000164,759,85,2,48,150,624
SKU000165,552,39,19,8,0,486
SKU000166,547,60,14,37,50,436
SKU000167,587,53,11,56,0,467
SKU000168,296,88,19,52,0,137
SKU000169,744,33,1,45,50,665
SKU000170,592,6,21,23,250,542
SKU000171,755,36,15,10,0,694
SKU000172,35,16,4,44,0,0
SKU000173,281,1,23,12,100,245
SKU000174,178,19,21,33,0,105
SKU000175,827,89,7,36,0,695
SKU000176,818,4,10,10,0,794
SKU000177,609,19,15,53,50,522
SKU000178,788,84,14,51,150,639
SKU000179,171,44,1,46,0,80
SKU000180,773,6,5,34,50,728
SKU000181,487,68,7,29,150,383
SKU000182,722,33,4,38,250,647
SKU000183,57,24,21,25,100,0
SKU000184,699,12,17,45,0,625
SKU000185,864,83,8,26,0,747
SKU000186,273,32,20,42,50,179
SKU000187,472,30,23,48,100,371
SKU000188,788,43,21,49,0,675
SKU000189,320,86,0,58,0,176
SKU000190,12,8,0,48,50,0
SKU000191,359,36,8,17,0,298
SKU000192,24,1,19,47,250,0
SKU000193,222,81,3,50,0,88
SKU000194,88,16,12,47,250,13
SKU000195,921,23,3,49,0,846
SKU000196,259,84,2,45,50,128
SKU000197,944,54,22,47,250,821
SKU000198,788,20,24,9,0,735
SKU000199,49,21,1,21,250,6
SKU000200,271,8,15,17,100,231
SKU000201,402,62,3,14,100,323
SKU000202,787,78,20,11,50,678
SKU000203,732,4,2,9,100,717
SKU000204,745,57,0,36,0,652
SKU000205,668,4,21,29,0,614
SKU000206,155,50,18,5,100,82
SKU000207,724,62,15,32,50,615
SKU000208,864,8,17,19,0,820
SKU000209,393,61,3,41,100,288
SKU000210,367,38,12,8,150,309
SKU000211,662,68,10,10,250,574
SKU000212,470,37,20,17,0,396
SKU000213,49,42,3,24,150,0
SKU000214,399,80,22,27,50,270
SKU000215,86,56,23,17,0,0
SKU000216,36,15,15,29,0,0
SKU000217,811,39,15,39,250,718
SKU000218,831,2,1,26,0,802
SKU000219,345,5,12,12,0,316
SKU000220,826,66,14,48,250,698
SKU000221,895,74,7,9,0,805
SKU000222,753,83,0,35,100,635
SKU000223,46,41,1,5,0,0
SKU000224,39,6,14,44,0,0
SKU000225,855,13,3,36,100,803
SKU000226,818,8,25,17,50,768
SKU000227,345,86,12,25,0,222
SKU000228,700,17,10,58,250,615
SKU000229,218,75,5,26,0,112
SKU000230,123,53,5,49,0,16
SKU000231,566,31,18,7,0,510
SKU000232,102,80,19,29,250,0
SKU000233,62,5,0,5,0,52
SKU000234,948,83,18,23,50,824
SKU000235,710,60,22,13,0,615
SKU000236,146,66,14,31,0,35
SKU000237,178,4,19,16,150,139
SKU000238,511,11,20,57,250,423
SKU000239,308,0,17,20,0,271
SKU000240,120,12,19,28,250,61
SKU000241,779,64,7,34,250,674
SKU000242,641,35,1,17,0,588
SKU000243,815,60,15,16,0,724
SKU000244,686,6,20,28,0,632
SKU000245,214,42,19,56,250,97
SKU000246,6,4,0,15,250,0
SKU000247,29,3,2,20,150,4
SKU000248,455,41,13,17,150,384
SKU000249,693,29,24,12,0,628
SKU000250,233,52,6,29,0,146
SKU000251,75,62,0,32,0,0
SKU000252,221,58,5,29,0,129
SKU000253,139,24,20,27,0,68
SKU000254,207,4,22,41,0,140
SKU000255,287,59,14,31,0,183
SKU000256,778,37,19,15,250,707
SKU000257,813,78,5,41,100,689
SKU000258,875,52,16,36,250,771
SKU000259,221,59,8,5,150,149
SKU000260,438,31,7,25,50,375
SKU000261,593,75,4,41,0,473
SKU000262,427,5,15,51,250,356
SKU000263,67,50,15,56,250,0
SKU000264,713,57,15,20,0,621
SKU000265,571,88,23,31,0,429
SKU000266,135,30,20,10,0,75
SKU000267,491,20,22,34,250,415
SKU000268,584,3,14,34,250,533
SKU000269,141,51,5,55,250,30
SKU000270,379,90,20,5,250,264
SKU000271,42,33,0,23,50,0
SKU000272,770,78,17,41,250,634
SKU000273,212,10,19,26,150,157
SKU000274,56,43,5,8,0,0
SKU000275,392,79,1,28,0,284
SKU000276,179,90,2,40,150,47
SKU000277,792,42,7,39,0,704
SKU000278,664,74,22,18,250,550
SKU000279,762,41,11,22,100,688
SKU000280,696,6,2,28,0,660
SKU000281,463,67,3,35,150,358
SKU000282,544,68,9,33,100,434
SKU000283,376,88,25,9,0,254
SKU000284,913,11,2,30,0,870
SKU000285,295,9,3,15,0,268
SKU000286,114,63,4,60,0,0
SKU000287,533,2,9,31,150,491
SKU000288,554,60,11,31,50,452
SKU000289,755,37,6,9,0,703
SKU000290,892,66,20,26,50,780
SKU000291,592,82,25,25,50,460
SKU000292,607,67,17,33,50,490
SKU000293,311,39,5,55,0,212
SKU000294,232,36,24,59,0,113
SKU000295,151,58,5,44,0,44
SKU000296,728,23,5,58,150,642
SKU000297,709,19,5,20,0,665
SKU000298,42,36,1,33,0,0
SKU000299,378,71,22,7,150,278
SKU000300,324,18,11,33,100,262
SKU000301,166,15,0,30,50,121
SKU000302,786,58,10,14,0,704
SKU000303,756,64,10,46,150,636
SKU000304,302,37,24,41,150,200
SKU000305,150,56,10,49,0,35
SKU000306,749,5,4,48,100,692
SKU000307,119,51,19,58,0,0
SKU000308,456,41,1,43,150,371
SKU000309,199,28,25,54,0,92
SKU000310,68,57,10,47,0,0
SKU000311,524,62,10,43,100,409
SKU000312,523,85,11,30,0,397
SKU000313,733,47,12,28,0,646
SKU000314,291,39,14,60,100,178
SKU000315,89,56,23,31,250,0
SKU000316,453,54,23,31,0,345
SKU000317,855,11,4,18,0,822
SKU000318,486,67,10,9,100,400
SKU000319,774,0,13,45,0,716
SKU000320,424,59,22,41,250,302
SKU000321,936,23,12,23,100,878
SKU000322,38,37,1,36,100,0
SKU000323,757,3,25,5,0,724
SKU000324,268,81,20,35,0,132
SKU000325,669,36,13,16,50,604
SKU000326,928,31,0,12,250,885
SKU000327,283,8,19,52,0,204
SKU000328,595,55,8,45,150,487
SKU000329,487,15,11,37,150,424
SKU000330,33,10,18,8,0,0
SKU000331,327,88,4,27,0,208
SKU000332,54,26,20,27,0,0
SKU000333,296,81,2,37,0,176
SKU000334,784,12,19,53,0,700
SKU000335,556,40,21,56,0,439
SKU000336,277,88,11,11,100,167
SKU000337,593,18,0,13,100,562
SKU000338,288,62,13,26,0,187
SKU000339,104,64,7,58,0,0
SKU000340,814,78,22,58,100,656
SKU000341,866,70,22,53,250,721
SKU000342,116,9,3,57,0,47
SKU000343,44,19,22,28,0,0
SKU000344,836,76,16,53,0,691
SKU000345,176,3,23,57,0,93
SKU000346,227,88,4,49,0,86
SKU000347,314,16,2,32,150,264
SKU000348,781,9,0,54,50,718
SKU000349,775,25,3,7,250,740
SKU000350,675,7,15,12,0,641
