store_id,sku_id,forecast_daily_sales_base,forecast_next_7_units,forecast_next_14_units,forecast_next_28_units,forecast_confidence,under_forecast_bias,seasonal_index,promo_uplift_pct,promo_flag_next_28d
STR001,SKU000001,0.0182,0.15,0.3,0.6,0.85,0.037,1.18,0.0,0
STR001,SKU000002,0.0384,0.31,0.62,1.24,0.71,-0.126,1.15,0.0,0
STR001,SKU000003,0.1937,1.37,2.74,5.48,0.71,0.038,1.01,0.0,0
STR001,SKU000004,0.0234,0.15,0.31,0.62,0.79,-0.128,0.94,0.0,0
STR001,SKU000005,0.3456,2.61,5.22,10.45,0.93,-0.166,1.08,0.0,0
STR001,SKU000006,0.3636,2.9,5.8,11.61,0.94,0.177,1.14,0.0,0
STR001,SKU000007,0.0234,0.15,0.3,0.61,0.68,0.043,0.93,0.0,0
STR001,SKU000008,0.1592,1.1,2.21,4.41,0.72,0.11,0.99,0.0,0
STR001,SKU000009,0.0878,0.7,1.4,2.8,0.86,-0.05,1.14,0.0,0
STR001,SKU000010,0.0279,0.35,0.7,1.41,0.78,0.217,1.0,0.8,1
STR001,SKU000011,0.224,1.33,2.67,5.33,0.82,0.22,0.85,0.0,0
STR001,SKU000012,0.0366,0.28,0.55,1.11,0.9,-0.134,1.08,0.0,0
STR001,SKU000013,0.4548,2.93,5.86,11.72,0.93,0.208,0.92,0.0,0
STR001,SKU000014,0.1265,0.79,1.58,3.15,0.69,0.188,0.89,0.0,0
STR001,SKU000015,0.0562,0.36,0.72,1.43,0.91,-0.112,0.91,0.0,0
STR001,SKU000016,0.2048,1.35,2.69,5.39,0.77,-0.083,0.94,0.0,0
STR001,SKU000017,0.3579,3.01,6.01,12.03,0.88,0.125,1.2,0.0,0
STR001,SKU000018,0.062,0.41,0.82,1.65,0.84,-0.162,0.95,0.0,0
STR001,SKU000019,0.0712,0.47,0.94,1.87,0.94,-0.015,0.94,0.0,0
STR001,SKU000020,0.132,0.95,1.9,3.81,0.72,0.092,1.03,0.0,0
STR001,SKU000022,0.0178,0.14,0.29,0.57,0.74,0.075,1.15,0.0,0
STR001,SKU000024,0.0081,0.05,0.1,0.2,0.85,0.028,0.89,0.0,0
STR001,SKU000025,0.126,0.97,1.94,3.88,0.79,0.082,1.1,0.0,0
STR001,SKU000026,0.0664,0.46,0.91,1.82,0.79,0.115,0.98,0.0,0
STR001,SKU000027,0.2124,1.34,2.68,5.35,0.68,-0.101,0.9,0.0,0
STR001,SKU000029,0.0742,0.55,1.1,2.21,0.7,0.165,0.85,0.25,1
