order_id,store_id,sku_id,order_qty,ship_date,expected_arrival_date,status
OPEN000001,STR001,SKU000003,6,2026-05-14,2026-05-18,In transit
OPEN000002,STR001,SKU000004,12,2026-05-15,2026-05-20,In transit
OPEN000003,STR001,SKU000006,12,2026-05-13,2026-05-19,In transit
OPEN000004,STR001,SKU000010,6,2026-05-12,2026-05-18,In transit
OPEN000005,STR001,SKU000011,6,2026-05-13,2026-05-20,In transit
OPEN000006,STR001,SKU000012,12,2026-05-14,2026-05-19,In transit
OPEN000007,STR001,SKU000013,24,2026-05-13,2026-05-18,In transit
OPEN000008,STR001,SKU000020,24,2026-05-13,2026-05-19,In transit
OPEN000009,STR001,SKU000027,3,2026-05-13,2026-05-16,In transit
OPEN000010,STR001,SKU000029,12,2026-05-14,2026-05-18,In transit
OPEN000011,STR001,SKU000035,6,2026-05-15,2026-05-19,In transit
OPEN000012,STR001,SKU000041,6,2026-05-12,2026-05-17,In transit
OPEN000013,STR001,SKU000042,24,2026-05-13,2026-05-18,In transit
OPEN000014,STR001,SKU000043,3,2026-05-15,2026-05-17,In transit
OPEN000015,STR001,SKU000045,6,2026-05-15,2026-05-19,In transit
OPEN000016,STR001,SKU000046,6,2026-05-15,2026-05-18,In transit
OPEN000017,STR001,SKU000052,12,2026-05-15,2026-05-19,In transit
OPEN000018,STR001,SKU000053,12,2026-05-12,2026-05-18,In transit
OPEN000019,STR001,SKU000054,12,2026-05-14,2026-05-18,In transit
OPEN000020,STR001,SKU000060,6,2026-05-12,2026-05-16,In transit
OPEN000021,STR001,SKU000066,24,2026-05-15,2026-05-18,In transit
OPEN000022,STR001,SKU000067,12,2026-05-14,2026-05-16,In transit
OPEN000023,STR001,SKU000077,6,2026-05-12,2026-05-18,In transit
OPEN000024,STR001,SKU000085,12,2026-05-12,2026-05-16,In transit
OPEN000025,STR001,SKU000090,6,2026-05-12,2026-05-19,In transit
OPEN000026,STR001,SKU000093,12,2026-05-15,2026-05-20,In transit
OPEN000027,STR001,SKU000095,24,2026-05-12,2026-05-20,In transit
OPEN000028,STR001,SKU000101,24,2026-05-14,2026-05-16,In transit
OPEN000029,STR001,SKU000102,24,2026-05-13,2026-05-17,In transit
OPEN000030,STR001,SKU000104,12,2026-05-15,2026-05-17,In transit
OPEN000031,STR001,SKU000106,12,2026-05-15,2026-05-19,In transit
OPEN000032,STR001,SKU000108,6,2026-05-14,2026-05-17,In transit
OPEN000033,STR001,SKU000109,12,2026-05-15,2026-05-18,In transit
OPEN000034,STR001,SKU000113,6,2026-05-12,2026-05-18,In transit
OPEN000035,STR001,SKU000115,3,2026-05-13,2026-05-18,In transit
OPEN000036,STR001,SKU000119,6,2026-05-12,2026-05-19,In transit
OPEN000037,STR001,SKU000120,24,2026-05-15,2026-05-20,In transit
OPEN000038,STR001,SKU000124,12,2026-05-14,2026-05-19,In transit
OPEN000039,STR001,SKU000125,6,2026-05-12,2026-05-20,In transit
OPEN000040,STR001,SKU000126,6,2026-05-12,2026-05-20,In transit
OPEN000041,STR001,SKU000133,24,2026-05-12,2026-05-17,In transit
OPEN000042,STR001,SKU000141,3,2026-05-13,2026-05-18,In transit
OPEN000043,STR001,SKU000142,3,2026-05-13,2026-05-20,In transit
OPEN000044,STR001,SKU000147,6,2026-05-12,2026-05-16,In transit
OPEN000045,STR001,SKU000149,12,2026-05-13,2026-05-16,In transit
OPEN000046,STR001,SKU000150,12,2026-05-13,2026-05-16,In transit
OPEN000047,STR001,SKU000154,24,2026-05-13,2026-05-19,In transit
OPEN000048,STR001,SKU000155,12,2026-05-15,2026-05-19,In transit
OPEN000049,STR001,SKU000157,3,2026-05-12,2026-05-16,In transit
OPEN000050,STR001,SKU000159,12,2026-05-14,2026-05-18,In transit
OPEN000051,STR001,SKU000168,12,2026-05-14,2026-05-17,In transit
OPEN000052,STR001,SKU000171,24,2026-05-13,2026-05-16,In transit
OPEN000053,STR001,SKU000186,3,2026-05-12,2026-05-18,In transit
OPEN000054,STR001,SKU000187,24,2026-05-12,2026-05-17,In transit
OPEN000055,STR001,SKU000188,6,2026-05-13,2026-05-19,In transit
OPEN000056,STR001,SKU000190,3,2026-05-12,2026-05-17,In transit
OPEN000057,STR001,SKU000192,3,2026-05-14,2026-05-20,In transit
OPEN000058,STR001,SKU000194,12,2026-05-15,2026-05-20,In transit
OPEN000059,STR001,SKU000197,12,2026-05-15,2026-05-17,In transit
OPEN000060,STR001,SKU000199,6,2026-05-12,2026-05-19,In transit
OPEN000061,STR001,SKU000200,12,2026-05-13,2026-05-16,In transit
OPEN000062,STR001,SKU000205,12,2026-05-12,2026-05-16,In transit
OPEN000063,STR001,SKU000207,12,2026-05-13,2026-05-16,In transit
OPEN000064,STR001,SKU000217,12,2026-05-12,2026-05-18,In transit
OPEN000065,STR001,SKU000218,12,2026-05-13,2026-05-20,In transit
