promo_id,sku_id,promo_name,start_date,end_date,expected_uplift_pct,known_in_advance_flag
PROMO0001,SKU000545,Track Pants promo 1,2026-06-02,2026-06-15,0.5,1
PROMO0002,SKU000769,Track Pants promo 2,2026-05-27,2026-06-02,0.8,1
PROMO0003,SKU000010,T-Shirt promo 3,2026-05-15,2026-05-19,0.8,1
PROMO0004,SKU000249,Track Pants promo 4,2026-05-16,2026-05-25,0.5,1
PROMO0005,SKU000383,Jacket promo 5,2026-05-27,2026-06-02,0.25,1
PROMO0006,SKU000665,Jacket promo 6,2026-06-02,2026-06-11,0.5,1
PROMO0007,SKU001017,Basketball Shoes promo 7,2026-05-25,2026-05-31,0.35,1
PROMO0008,SKU000283,Leggings promo 8,2026-05-26,2026-06-04,0.5,1
PROMO0009,SKU000263,Hoodie promo 9,2026-05-23,2026-05-27,0.15,1
PROMO0010,SKU000910,Running Shoes promo 10,2026-05-18,2026-05-31,0.15,1
PROMO0011,SKU000599,Shorts promo 11,2026-05-19,2026-05-21,0.25,1
PROMO0012,SKU000729,Hoodie promo 12,2026-05-28,2026-06-10,0.15,1
PROMO0013,SKU000059,Track Pants promo 13,2026-05-18,2026-05-24,0.8,1
PROMO0014,SKU000291,T-Shirt promo 14,2026-06-01,2026-06-10,0.25,1
PROMO0015,SKU000033,Jacket promo 15,2026-05-29,2026-06-04,0.8,1
PROMO0016,SKU000464,Track Pants promo 16,2026-05-31,2026-06-06,0.25,1
PROMO0017,SKU001071,Training Shoes promo 17,2026-06-05,2026-06-09,0.35,1
PROMO0018,SKU000112,T-Shirt promo 18,2026-05-30,2026-06-01,0.8,1
PROMO0019,SKU000408,Jacket promo 19,2026-05-28,2026-06-01,0.25,1
PROMO0020,SKU000624,T-Shirt promo 20,2026-05-22,2026-05-28,0.15,1
PROMO0021,SKU000194,Leggings promo 21,2026-05-28,2026-06-03,0.35,1
PROMO0022,SKU000175,Jacket promo 22,2026-05-17,2026-05-19,0.15,1
PROMO0023,SKU000567,T-Shirt promo 23,2026-05-17,2026-05-19,0.8,1
PROMO0024,SKU000790,Jacket promo 24,2026-05-24,2026-05-28,0.35,1
PROMO0025,SKU001180,Football Boots promo 25,2026-05-28,2026-06-03,0.8,1
PROMO0026,SKU000504,Leggings promo 26,2026-05-28,2026-06-03,0.35,1
PROMO0027,SKU000949,Football Boots promo 27,2026-05-18,2026-05-27,0.25,1
PROMO0028,SKU000161,T-Shirt promo 28,2026-06-05,2026-06-11,0.35,1
PROMO0029,SKU000395,Leggings promo 29,2026-06-02,2026-06-08,0.25,1
PROMO0030,SKU001162,Football Boots promo 30,2026-05-30,2026-06-05,0.8,1
PROMO0031,SKU000569,T-Shirt promo 31,2026-05-15,2026-05-21,0.8,1
PROMO0032,SKU000439,T-Shirt promo 32,2026-05-20,2026-05-26,0.15,1
PROMO0033,SKU000034,Jacket promo 33,2026-05-15,2026-05-21,0.5,1
PROMO0034,SKU000792,Leggings promo 34,2026-05-25,2026-06-07,0.15,1
PROMO0035,SKU000595,Shorts promo 35,2026-06-05,2026-06-11,0.5,1
PROMO0036,SKU000211,Jacket promo 36,2026-05-16,2026-05-29,0.8,1
PROMO0037,SKU000702,Track Pants promo 37,2026-05-22,2026-05-24,0.25,1
PROMO0038,SKU000590,Jacket promo 38,2026-05-25,2026-06-03,0.5,1
PROMO0039,SKU001138,Training Shoes promo 39,2026-05-26,2026-05-28,0.25,1
PROMO0040,SKU000521,Track Pants promo 40,2026-05-24,2026-06-06,0.15,1
PROMO0041,SKU001147,Training Shoes promo 41,2026-06-04,2026-06-13,0.25,1
PROMO0042,SKU000629,T-Shirt promo 42,2026-05-28,2026-05-30,0.25,1
PROMO0043,SKU000364,T-Shirt promo 43,2026-06-02,2026-06-06,0.8,1
PROMO0044,SKU000778,T-Shirt promo 44,2026-05-24,2026-05-30,0.5,1
PROMO0045,SKU000374,Track Pants promo 45,2026-05-25,2026-06-07,0.35,1
PROMO0046,SKU001047,Training Shoes promo 46,2026-06-03,2026-06-07,0.25,1
