run_date,store_id,sku_id,stock_on_hand,in_transit_qty,last_delivery_date
2026-05-15,STR001,SKU000001,13,0,2026-05-05
2026-05-15,STR001,SKU000002,7,0,2026-05-07
2026-05-15,STR001,SKU000003,3,6,2026-05-08
2026-05-15,STR001,SKU000004,12,12,2026-05-11
2026-05-15,STR001,SKU000005,3,0,2026-05-13
2026-05-15,STR001,SKU000006,8,12,2026-05-03
2026-05-15,STR001,SKU000007,5,0,2026-05-04
2026-05-15,STR001,SKU000008,11,0,2026-05-03
2026-05-15,STR001,SKU000009,14,0,2026-05-04
2026-05-15,STR001,SKU000010,0,6,2026-05-05
2026-05-15,STR001,SKU000011,4,6,2026-05-06
2026-05-15,STR001,SKU000012,23,12,2026-05-10
2026-05-15,STR001,SKU000013,2,24,2026-05-07
2026-05-15,STR001,SKU000014,4,0,2026-05-11
2026-05-15,STR001,SKU000015,12,0,2026-05-04
2026-05-15,STR001,SKU000016,12,0,2026-05-10
2026-05-15,STR001,SKU000017,9,0,2026-05-10
2026-05-15,STR001,SKU000018,9,0,2026-05-10
2026-05-15,STR001,SKU000019,26,0,2026-05-07
2026-05-15,STR001,SKU000020,4,24,2026-05-04
2026-05-15,STR001,SKU000022,2,0,2026-05-07
2026-05-15,STR001,SKU000024,3,0,2026-05-05
2026-05-15,STR001,SKU000025,6,0,2026-05-10
2026-05-15,STR001,SKU000026,28,0,2026-05-12
2026-05-15,STR001,SKU000027,13,3,2026-05-14
2026-05-15,STR001,SKU000029,11,12,2026-05-05
2026-05-15,STR001,SKU000031,6,0,2026-05-13
2026-05-15,STR001,SKU000032,11,0,2026-05-13
2026-05-15,STR001,SKU000033,15,0,2026-05-10
2026-05-15,STR001,SKU000034,4,0,2026-05-06
2026-05-15,STR001,SKU000035,1,6,2026-05-12
2026-05-15,STR001,SKU000038,0,0,2026-05-12
2026-05-15,STR001,SKU000039,2,0,2026-05-04
2026-05-15,STR001,SKU000040,2,0,2026-05-05
2026-05-15,STR001,SKU000041,11,6,2026-05-03
2026-05-15,STR001,SKU000042,22,24,2026-05-13
2026-05-15,STR001,SKU000043,24,3,2026-05-13
2026-05-15,STR001,SKU000045,10,6,2026-05-09
2026-05-15,STR001,SKU000046,1,6,2026-05-09
2026-05-15,STR001,SKU000047,13,0,2026-05-05
2026-05-15,STR001,SKU000048,0,0,2026-05-13
2026-05-15,STR001,SKU000049,9,0,2026-05-08
2026-05-15,STR001,SKU000052,0,12,2026-05-05
2026-05-15,STR001,SKU000053,6,12,2026-05-06
2026-05-15,STR001,SKU000054,6,12,2026-05-13
2026-05-15,STR001,SKU000055,9,0,2026-05-11
2026-05-15,STR001,SKU000057,1,0,2026-05-06
2026-05-15,STR001,SKU000059,29,0,2026-05-04
2026-05-15,STR001,SKU000060,1,6,2026-05-03
2026-05-15,STR001,SKU000061,18,0,2026-05-09
2026-05-15,STR001,SKU000064,0,0,2026-05-08
2026-05-15,STR001,SKU000065,6,0,2026-05-06
2026-05-15,STR001,SKU000066,3,24,2026-05-09
2026-05-15,STR001,SKU000067,0,12,2026-05-05
2026-05-15,STR001,SKU000068,7,0,2026-05-09
2026-05-15,STR001,SKU000069,1,0,2026-05-10
2026-05-15,STR001,SKU000071,11,0,2026-05-04
2026-05-15,STR001,SKU000072,9,0,2026-05-11
2026-05-15,STR001,SKU000075,12,0,2026-05-03
2026-05-15,STR001,SKU000076,18,0,2026-05-14
2026-05-15,STR001,SKU000077,0,6,2026-05-12
2026-05-15,STR001,SKU000078,5,0,2026-05-05
2026-05-15,STR001,SKU000079,17,0,2026-05-06
2026-05-15,STR001,SKU000080,7,0,2026-05-10
2026-05-15,STR001,SKU000083,8,0,2026-05-04
2026-05-15,STR001,SKU000085,0,12,2026-05-14
2026-05-15,STR001,SKU000087,9,0,2026-05-07
2026-05-15,STR001,SKU000088,2,0,2026-05-11
2026-05-15,STR001,SKU000089,1,0,2026-05-14
2026-05-15,STR001,SKU000090,16,6,2026-05-13
2026-05-15,STR001,SKU000091,28,0,2026-05-09
